title,author,duration_hours,file_size_mb
"A Feast for Crows","George R. R. Martin",33.8487466666667,240.550207138062
"A Fever in the Heartland","Timothy Egan",10.4923502777778,301.946632385254
"A Field Guide to Climate Anxiety","Sara Sheckells",5.21684944444444,143.303033828735
"A Field Philosopher's Guide to Fracking","Adam Briggle",10.5599938888889,288.01876449585
"A Fire So Wild","Sarah S. Grossman",6.81916055555556,193.916746139526
"A Fire Upon the Deep","Vernor Vinge",21.6636630555556,590.276202201843
"A Force So Swift","Kevin Peraino",10.21316,281.634202957153
"A Full Life","Jimmy Carter",7.75944833333333,213.234057426453
"A Future of Faith","Pope Francis",8.95606444444444,311.724550247192
"A Galaxy Trilogy","Poul Anderson",13.555095,566.36897277832
"A Game of Fate","Scarlett St. Clair (Hades Saga)",11.5592994444444,630.391280174255
"A Game of Thrones","George R. R. Martin",33.03296,235.404098510742
"A Gathering of Shadows","V. E. Schwab",16.1539191666667,663.855330467224
"A General History of the Pyrates","Daniel Defoe",12.1836652777778,332.010013580322
"A Gentleman in Moscow","Amor Towles",17.8832738888889,487.263739585876
"A Girl Called Renee","Ruth Uzrad",7.28297722222222,198.654448509216
"A Girl Is a Half-Formed Thing","Eimear McBride",15.1542752777778,448.333347320557
"A Good American Family","David Maraniss",13.7134661111111,622.731609344482
"A Good Provider Is One Who Leaves","Jason Depaul",11.73273,288.092230796814
"A Great Place to Have a War","Joshua Kurlantzick",9.17357972222222,253.442182540894
"A Grim Reaper's Guide to Catching a Killer","Maxie Dara",9.20043027777778,258.193392753601
"A Grown-Up Guide to Dinosaurs","Ellie Saxx",2.80536222222222,140.156943321228
"A Guide to Demonic Ascension","Tim Saian",23.1869227777778,1287.61080932617
"A Guide to Midwestern Conversation","Taylor Kay Phillips",2.5850325,140.900364875793
"A Guide to the Climate Apocalypse","Vítězslav Kremlík",10.642105,579.998760223389
"A Hero of Our Time","Mikhail Lermontov",6.16048611111111,168.110790252686
"A History of Burning","Janika Oza",13.6837094444444,380.518303871155
"A History of What Comes Next","Sylvain Neuvel",9.37596,427.909791946411
"A History of the United States in Five Crashes","Scott Nations",25.0953483333333,686.52446937561
"A History of the World in 6 Glasses","Tom Standage",7.57525611111111,208.121017456055
"A Hitch in Time","James Wolcott",10.9034741666667,314.153288841248
"A Horse Walks into a Bar","David Grossman",5.831965,176.563191413879
"A House Between Earth and the Moon","Rebecca Scherm",11.6525927777778,492.260674476624
"A House in the Sky","Amanda Lindhout",13.2870966666667,536.058437347412
"A House with Good Bones","T Kingfisher",7.70916666666667,420.49192905426
"A Human Algorithm","Flynn Coleman",7.78273388888889,258.735565185547
"A Hundred Crickets Singing","Cathy Gohlke",13.4132825,368.456254005432
"A Hundred Flowers","Gail Tsukiyama",7.04960416666667,248.340170860291
"A Hundred Little Pieces on the End of the World","John Rember",5.50871833333333,300.356709480286
"A Kind of Madness","Uche Okonkwo",8.07526166666667,304.913632392883
"A Legend of the Future","Agustin de Rojas, Nick Caistor - translator",7.39907722222222,201.627765655518
"A Libertarian Walks Into a Bear","Matthew Hongoltz-Hetling",9.87448888888889,314.597521781921
"A Lie Someone Told You About Yourself","Peter Ho Davies",4.56099416666667,161.678386688232
"A Life Lived Remotely","Siobhan McKeown",8.54600111111111,232.865146636963
"A Life in Parts","Bryan Cranston",8.88370722222222,340.499484062195
"A Life on Our Planet","David Attenborough",6.34931527777778,221.394121170044
"A Line of Blood and Dirt","Benjamin Hoy",10.8522602777778,591.398030281067
"A Little Hatred","Joe Abercrombie",20.3245061111111,837.396157264709
"A Little History of Art","Charlotte Mullins",11.5960422222222,634.215503692627
"A Little Life","Yanagihara Hanya",32.85942,1269.33535575867
"A Lonely Girl Is a Dangerous Thing","Jessie Tu",9.37065944444445,305.423538208008
"A Machine to Move Ocean and Earth","James Tejani",12.9542455555556,355.799006462097
"A Magician Among the Spirits","Harry Houdini",9.72556916666667,267.141425132751
"A Man Called Ove","Fredrik Backman",9.15809194444445,150.283981323242
"A Man for All Markets","Edward O. Thorp",16.5013441666667,454.557800292969
"A Man of Two Faces","Viet Thanh Nguyen",8.76620972222222,59.0619993209839
"A Map Is Only One Story","Nicole Chung",5.66434638888889,309.140477180481
"A Memory Called Empire","Arkady Martine",15.6167361111111,746.377118110657
"A Monetary and Fiscal History of the United States, 1961-2021","Alan S. Blinder",15.2047694444444,423.859275817871
"A Most Peculiar Book","Kristin Swenson",9.69447277777778,528.55103969574
"A Mystery of Mysteries","Mark Dawidziak",10.6256369444444,291.905533790588
"A Nameless Witch","A. Lee Martinez",10.1478966666667,278.790637969971
"A Paradise Built in Hell","Rebecca Solnit",13.0477566666667,355.521944046021
"A Passage North","Neil Shah",9.26504527777778,505.133334159851
"A Passage to India","E. M. Forster",11.0566022222222,434.568156242371
"A Peculiar Peril","Jeff VanderMeer",22.3325783333333,1216.91219997406
"A People's Future of the United States","Victor LaValle",15.0363977777778,438.303822517395
"A People's History of the Supreme Court","Peter H. Irons",28.5414652777778,777.655362129211
"A People's History of the United States","Howard Zinn",13.2560716666667,552.243158340454
"A People’s Tragedy","Orlando Figes",47.0218916666667,1281.14036369324
"A Place in the World","Frances Mayes",7.91617833333333,217.448780059814
"A Plausible Man","Susanna Ashton",11.6963891666667,325.796631813049
"A Poetry Handbook","Mary Oliver",3.5574425,101.914672851563
"A Portrait of the Artist as a Young Man","James Joyce",8.29524166666667,114.182638168335
"A Portrait of the Scientist as a Young Woman","Lindy Elkins-Tanton",8.61438555555556,410.738152503967
"A Prayer for Vengeance","Leanne Schwartz",12.0063986111111,330.906917572021
"A Princess of Mars","Edgar Rice Burroughs",6.58048972222222,358.761208534241
"A Promised Land","Barack Obama",29.1710661111111,801.210283279419
"A Psalm for the Wild-Built","Becky Chambers",4.14165972222222,225.743012428284
"A Queer and Pleasant Danger","Narrator Kate Bornstein",11.4345236111111,315.007967948914
"A Random Walk Down Wall Street","Burton G. Malkiel",11.7065888888889,370.048245429993
"A Really Short History of Nearly Everything","Bill Bryson",5.71176138888889,315.266463279724
"A Reaper at the Gates","Sabaa Tahir",15.4885355555556,422.019818305969
"A Russian Journal","John Steinbeck",7.02886111111111,191.529010772705
"A Safe Girl to Love","Casey Plett",6.30553361111111,350.40714263916
"A Scanner Darkly","Philip K. Dick",9.21718694444444,251.181997299194
"A Scheme of Heaven","Alexander Boxer",9.63451805555555,265.315535545349
"A Season of Light","Julie Iromuanya",8.65495083333333,256.974289894104
"A Season on the Wind","Kaufman Kenn",8.6816725,223.222996711731
"A Series of Fortunate Events","Sean B. Carroll",4.79749666666667,131.84530544281
"A Short History of Nearly Everything","Bill Bryson",18.2853877777778,530.574514389038
"A Short History of Queer Women","Ellie Gossage",4.02839694444444,110.654057502747
"A Short History of Trans Misogyny","Jules Gill-Peterson",5.91805388888889,327.669792175293
"A Short Stay in Hell","Steven L. Peck",5.42240111111111,179.822420120239
"A Song for a New Day","Sarah Pinsker",12.5298358333333,380.493710517883
"A Song of Wraiths and Ruin","Roseanne A. Brown",12.0744852777778,600.272899627686
